,Accuracy,Balanced Accuracy,Precision,F1,Recall,Confusion matrix
LRG1,0.94,0.94,0.94,0.94,0.93,"[[469  24]
 [ 30 403]]"
LRG2,0.94,0.94,0.94,0.94,0.93,"[[469  24]
 [ 30 403]]"
LRG3,0.94,0.94,0.94,0.94,0.93,"[[469  24]
 [ 30 403]]"
LRG4,0.94,0.94,0.94,0.94,0.93,"[[469  24]
 [ 30 403]]"
LRG5,0.94,0.94,0.94,0.93,0.93,"[[467  26]
 [ 31 402]]"
LRG6,0.94,0.94,0.94,0.93,0.93,"[[467  26]
 [ 32 401]]"
LRG7,0.94,0.94,0.94,0.94,0.93,"[[469  24]
 [ 30 403]]"
LRG8,0.94,0.94,0.94,0.94,0.93,"[[469  24]
 [ 30 403]]"
LRG9,0.94,0.94,0.94,0.94,0.93,"[[468  25]
 [ 30 403]]"
LRG10,0.94,0.94,0.95,0.94,0.93,"[[471  22]
 [ 31 402]]"
LRG11,0.94,0.94,0.93,0.94,0.94,"[[689  47]
 [ 36 617]]"
LRG12,0.94,0.94,0.93,0.94,0.94,"[[689  47]
 [ 36 617]]"
LRG13,0.94,0.94,0.93,0.94,0.94,"[[689  47]
 [ 36 617]]"
LRG14,0.94,0.94,0.93,0.94,0.94,"[[689  47]
 [ 36 617]]"
LRG15,0.94,0.94,0.93,0.93,0.94,"[[688  48]
 [ 38 615]]"
LRG16,0.94,0.94,0.93,0.93,0.94,"[[688  48]
 [ 38 615]]"
LRG17,0.94,0.94,0.93,0.94,0.94,"[[689  47]
 [ 36 617]]"
LRG18,0.94,0.94,0.93,0.94,0.94,"[[689  47]
 [ 37 616]]"
LRG19,0.94,0.94,0.93,0.94,0.94,"[[688  48]
 [ 37 616]]"
LRG20,0.94,0.94,0.93,0.94,0.94,"[[688  48]
 [ 37 616]]"
LRG21,0.95,0.95,0.94,0.94,0.94,"[[469  24]
 [ 26 407]]"
LRG22,0.95,0.95,0.95,0.94,0.94,"[[470  23]
 [ 27 406]]"
LRG23,0.95,0.95,0.94,0.94,0.94,"[[469  24]
 [ 26 407]]"
LRG24,0.95,0.95,0.95,0.94,0.94,"[[470  23]
 [ 27 406]]"
LRG25,0.94,0.94,0.94,0.94,0.94,"[[465  28]
 [ 27 406]]"
LRG26,0.94,0.94,0.94,0.94,0.94,"[[465  28]
 [ 28 405]]"
LRG27,0.95,0.95,0.95,0.94,0.94,"[[470  23]
 [ 26 407]]"
LRG28,0.94,0.94,0.95,0.94,0.94,"[[470  23]
 [ 28 405]]"
LRG29,0.94,0.94,0.94,0.94,0.94,"[[469  24]
 [ 27 406]]"
LRG30,0.94,0.94,0.95,0.94,0.94,"[[470  23]
 [ 28 405]]"
LRG31,0.94,0.94,0.93,0.94,0.94,"[[687  49]
 [ 36 617]]"
LRG32,0.94,0.94,0.93,0.93,0.94,"[[687  49]
 [ 38 615]]"
LRG33,0.94,0.94,0.93,0.94,0.94,"[[687  49]
 [ 36 617]]"
LRG34,0.94,0.94,0.93,0.93,0.94,"[[687  49]
 [ 38 615]]"
LRG35,0.94,0.94,0.93,0.94,0.95,"[[690  46]
 [ 33 620]]"
LRG36,0.94,0.94,0.93,0.94,0.95,"[[690  46]
 [ 33 620]]"
LRG37,0.94,0.94,0.92,0.93,0.94,"[[685  51]
 [ 36 617]]"
LRG38,0.94,0.94,0.93,0.94,0.94,"[[687  49]
 [ 36 617]]"
LRG39,0.94,0.94,0.93,0.94,0.95,"[[687  49]
 [ 33 620]]"
LRG40,0.94,0.94,0.93,0.94,0.95,"[[688  48]
 [ 34 619]]"
LRG41,0.86,0.86,0.84,0.86,0.88,"[[421  72]
 [ 54 379]]"
LRG42,0.86,0.86,0.84,0.86,0.87,"[[421  72]
 [ 55 378]]"
LRG43,0.86,0.86,0.84,0.86,0.88,"[[421  72]
 [ 54 379]]"
LRG44,0.86,0.86,0.84,0.86,0.87,"[[421  72]
 [ 55 378]]"
LRG45,0.87,0.87,0.84,0.86,0.88,"[[422  71]
 [ 54 379]]"
LRG46,0.87,0.87,0.84,0.86,0.88,"[[422  71]
 [ 54 379]]"
LRG47,0.86,0.86,0.84,0.86,0.88,"[[421  72]
 [ 54 379]]"
LRG48,0.86,0.86,0.84,0.86,0.88,"[[421  72]
 [ 54 379]]"
LRG49,0.86,0.86,0.84,0.86,0.88,"[[421  72]
 [ 54 379]]"
LRG50,0.86,0.86,0.84,0.86,0.88,"[[421  72]
 [ 54 379]]"
LRG51,0.87,0.87,0.84,0.86,0.88,"[[627 109]
 [ 78 575]]"
LRG52,0.86,0.86,0.84,0.86,0.87,"[[629 107]
 [ 83 570]]"
LRG53,0.87,0.87,0.84,0.86,0.88,"[[627 109]
 [ 77 576]]"
LRG54,0.86,0.86,0.84,0.86,0.87,"[[630 106]
 [ 84 569]]"
LRG55,0.87,0.87,0.84,0.86,0.88,"[[626 110]
 [ 77 576]]"
LRG56,0.87,0.87,0.85,0.86,0.87,"[[633 103]
 [ 82 571]]"
LRG57,0.87,0.87,0.84,0.86,0.88,"[[627 109]
 [ 78 575]]"
LRG58,0.86,0.86,0.84,0.86,0.87,"[[629 107]
 [ 83 570]]"
LRG59,0.87,0.87,0.84,0.86,0.88,"[[627 109]
 [ 77 576]]"
LRG60,0.86,0.86,0.84,0.86,0.87,"[[630 106]
 [ 83 570]]"
LRG61,0.94,0.94,0.93,0.93,0.94,"[[461  32]
 [ 28 405]]"
LRG62,0.93,0.93,0.93,0.93,0.93,"[[461  32]
 [ 29 404]]"
LRG63,0.94,0.94,0.93,0.93,0.94,"[[461  32]
 [ 26 407]]"
LRG64,0.94,0.94,0.92,0.93,0.94,"[[460  33]
 [ 27 406]]"
LRG65,0.94,0.94,0.93,0.93,0.94,"[[461  32]
 [ 27 406]]"
LRG66,0.93,0.93,0.92,0.93,0.94,"[[459  34]
 [ 27 406]]"
LRG67,0.84,0.85,0.81,0.84,0.87,"[[407  86]
 [ 58 375]]"
LRG68,0.85,0.85,0.82,0.84,0.86,"[[412  81]
 [ 62 371]]"
LRG69,0.84,0.84,0.78,0.84,0.9,"[[384 109]
 [ 43 390]]"
LRG70,0.83,0.84,0.79,0.83,0.89,"[[389 104]
 [ 49 384]]"
LRG71,0.93,0.93,0.91,0.92,0.94,"[[676  60]
 [ 42 611]]"
LRG72,0.93,0.93,0.91,0.92,0.93,"[[677  59]
 [ 43 610]]"
LRG73,0.93,0.93,0.91,0.92,0.93,"[[679  57]
 [ 44 609]]"
LRG74,0.93,0.93,0.91,0.92,0.94,"[[678  58]
 [ 42 611]]"
LRG75,0.93,0.93,0.91,0.92,0.94,"[[676  60]
 [ 41 612]]"
LRG76,0.93,0.93,0.91,0.92,0.94,"[[675  61]
 [ 42 611]]"
LRG77,0.85,0.85,0.81,0.84,0.89,"[[596 140]
 [ 74 579]]"
LRG78,0.85,0.85,0.81,0.84,0.88,"[[603 133]
 [ 80 573]]"
LRG79,0.83,0.83,0.76,0.83,0.91,"[[550 186]
 [ 56 597]]"
LRG80,0.83,0.83,0.77,0.83,0.91,"[[557 179]
 [ 61 592]]"
