,Numerical ID,Model name,Value
0,SVM1,SVMF1L6P3K1A,0.94
1,SVM2,SVMF1L6P3K1B,0.93
2,SVM3,SVMF1L6P3K2A,0.98
3,SVM4,SVMF1L6P3K2B,0.98
4,SVM5,SVMF1L6P3K3A,0.97
5,SVM6,SVMF1L6P3K3B,0.97
6,SVM7,SVMF1L6P3K4A,0.89
7,SVM8,SVMF1L6P3K4B,0.89
8,SVM9,SVMF1L6P5K1A,0.93
9,SVM10,SVMF1L6P5K1B,0.93
10,SVM11,SVMF1L6P5K2A,0.98
11,SVM12,SVMF1L6P5K2B,0.98
12,SVM13,SVMF1L6P5K3A,0.96
13,SVM14,SVMF1L6P5K3B,0.96
14,SVM15,SVMF1L6P5K4A,0.89
15,SVM16,SVMF1L6P5K4B,0.9
16,SVM17,SVMF2L6P3K1A,0.93
17,SVM18,SVMF2L6P3K1B,0.93
18,SVM19,SVMF2L6P3K2A,0.99
19,SVM20,SVMF2L6P3K2B,0.99
20,SVM21,SVMF2L6P3K3A,0.98
21,SVM22,SVMF2L6P3K3B,0.98
22,SVM23,SVMF2L6P3K4A,0.91
23,SVM24,SVMF2L6P3K4B,0.91
24,SVM25,SVMF2L6P5K1A,0.91
25,SVM26,SVMF2L6P5K1B,0.92
26,SVM27,SVMF2L6P5K2A,0.98
27,SVM28,SVMF2L6P5K2B,0.98
28,SVM29,SVMF2L6P5K3A,0.97
29,SVM30,SVMF2L6P5K3B,0.97
30,SVM31,SVMF2L6P5K4A,0.9
31,SVM32,SVMF2L6P5K4B,0.9
32,SVM33,SVMF3L6P3K1A,0.85
33,SVM34,SVMF3L6P3K1B,0.85
34,SVM35,SVMF3L6P3K2A,0.94
35,SVM36,SVMF3L6P3K2B,0.94
36,SVM37,SVMF3L6P3K3A,0.91
37,SVM38,SVMF3L6P3K3B,0.91
38,SVM39,SVMF3L6P3K4A,0.59
39,SVM40,SVMF3L6P3K4B,0.6
40,SVM41,SVMF3L6P5K1A,0.85
41,SVM42,SVMF3L6P5K1B,0.85
42,SVM43,SVMF3L6P5K2A,0.93
43,SVM44,SVMF3L6P5K2B,0.93
44,SVM45,SVMF3L6P5K3A,0.9
45,SVM46,SVMF3L6P5K3B,0.9
46,SVM47,SVMF3L6P5K4A,0.6
47,SVM48,SVMF3L6P5K4B,0.61
48,SVM49,SVMF4L6P3K1A,0.91
49,SVM50,SVMF4L6P3K1B,0.91
50,SVM51,SVMF4L6P3K2A,0.91
51,SVM52,SVMF4L6P3K2B,0.91
52,SVM53,SVMF4L6P3K3A,0.9
53,SVM54,SVMF4L6P3K3B,0.9
54,SVM55,SVMF4L6P3K4A,0.79
55,SVM56,SVMF4L6P3K4B,0.8
56,SVM57,SVMF4L6P5K1A,0.89
57,SVM58,SVMF4L6P5K1B,0.89
58,SVM59,SVMF4L6P5K2A,0.91
59,SVM60,SVMF4L6P5K2B,0.91
60,SVM61,SVMF4L6P5K3A,0.89
61,SVM62,SVMF4L6P5K3B,0.9
62,SVM63,SVMF4L6P5K4A,0.81
63,SVM64,SVMF4L6P5K4B,0.81
